"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"12/9/2018","61","32","16","164","13","164","o3","TIDAK SEHAT","DKI2"
"9/13/2018","70","46","19","190","13","190","o3","TIDAK SEHAT","DKI5"
"9/14/2018","62","44","18","233","17","233","o3","SANGAT TIDAK SEHAT","DKI2"
"9/15/2018","68","37","17","196","23","196","o3","TIDAK SEHAT","DKI2"
"9/16/2018","82","34","15","119","11","119","o3","TIDAK SEHAT","DKI2"
"9/17/2018","62","33","17","83","14","83","o3","SEDANG","DKI5"
"9/18/2018","64","32","18","141","11","141","o3","TIDAK SEHAT","DKI5"
"9/19/2018","58","34","16","85","11","85","o3","SEDANG","DKI5"
"9/20/2018","70","34","19","77","12","77","o3","SEDANG","DKI5"
"9/21/2018","80","33","34","75","12","80","pm10","SEDANG","DKI4"
"9/22/2018","58","33","25","157","13","157","o3","TIDAK SEHAT","DKI5"
"9/23/2018","84","33","29","130","14","130","o3","TIDAK SEHAT","DKI5"
"9/24/2018","69","33","25","152","21","152","o3","TIDAK SEHAT","DKI5"
"9/25/2018","78","32","31","197","16","197","o3","TIDAK SEHAT","DKI5"
"9/26/2018","94","50","26","202","21","202","o3","SANGAT TIDAK SEHAT","DKI5"
"9/27/2018","72","37","21","146","18","146","o3","TIDAK SEHAT","DKI5"
"9/28/2018","70","33","22","194","17","194","o3","TIDAK SEHAT","DKI5"
"9/29/2018","62","33","21","165","15","165","o3","TIDAK SEHAT","DKI5"
"9/30/2018","63","32","20","145","11","145","o3","TIDAK SEHAT","DKI5"
"1/12/2018","60","26","27","112","17","112","o3","TIDAK SEHAT","DKI3"
"2/12/2018","73","36","22","132","21","132","o3","TIDAK SEHAT","DKI2"
"3/12/2018","65","31","21","97","20","97","o3","SEDANG","DKI2"
"4/12/2018","64","24","31","71","21","71","o3","SEDANG","DKI1"
"5/12/2018","62","25","33","81","22","81","o3","SEDANG","DKI5"
"6/12/2018","61","27","33","94","17","94","o3","SEDANG","DKI3"
"7/12/2018","59","40","29","134","15","134","o3","TIDAK SEHAT","DKI3"
"8/12/2018","68","25","30","134","27","134","o3","TIDAK SEHAT","DKI2"
"9/12/2018","60","25","25","104","19","104","o3","TIDAK SEHAT","DKI2"
"10/12/2018","68","24","32","137","19","137","o3","TIDAK SEHAT","DKI2"
"11/12/2018","82","26","50","123","34","123","o3","TIDAK SEHAT","DKI2"
"12/12/2018","58","26","31","214","22","214","o3","SANGAT TIDAK SEHAT","DKI2"
"12/13/2018","52","26","24","117","26","117","o3","TIDAK SEHAT","DKI2"
"12/14/2018","50","24","21","92","18","92","o3","SEDANG","DKI3"
"12/15/2018","37","24","16","47","6","47","o3","BAIK","DKI2"
"12/16/2018","46","25","11","63","9","63","o3","SEDANG","DKI2"
"12/17/2018","41","30","12","128","12","128","o3","TIDAK SEHAT","DKI2"
"12/18/2018","51","27","16","160","14","160","o3","TIDAK SEHAT","DKI2"
"12/19/2018","62","27","24","195","19","195","o3","TIDAK SEHAT","DKI2"
"12/20/2018","55","27","24","97","18","97","o3","SEDANG","DKI3"
"12/21/2018","41","25","19","64","17","64","o3","SEDANG","DKI3"
"12/22/2018","58","32","21","66","18","66","o3","SEDANG","DKI3"
"12/23/2018","48","26","19","44","21","48","pm10","BAIK","DKI1"
"12/24/2018","34","24","9","45","5","45","o3","BAIK","DKI3"
"12/25/2018","29","24","7","70","4","70","o3","SEDANG","DKI3"
"12/26/2018","31","25","7","69","5","69","o3","SEDANG","DKI3"
"12/27/2018","29","25","15","55","6","55","o3","SEDANG","DKI1"
"12/28/2018","33","24","7","63","3","63","o3","SEDANG","DKI1"
"12/29/2018","30","24","6","50","8","50","o3","BAIK","DKI3"
"12/30/2018","48","12","6","53","4","53","o3","SEDANG","DKI3"
"12/31/2018","44","18","6","43","4","44","pm10","BAIK","DKI3"
"8/1/2019","71","27","22","115","18","115","o3","TIDAK SEHAT","DKI5"
"8/2/2019","76","28","22","96","20","96","o3","SEDANG","DKI5"
"8/3/2019","77","28","20","92","19","92","o3","SEDANG","DKI5"
"8/4/2019","71","27","18","80","17","80","o3","SEDANG","DKI3"
"8/5/2019","64","28","0","117","22","117","o3","TIDAK SEHAT","DKI4"
"8/6/2019","66","29","20","140","18","140","o3","TIDAK SEHAT","DKI3"
"8/7/2019","79","28","22","127","14","127","o3","TIDAK SEHAT","DKI3"
"8/8/2019","98","22","24","146","21","146","o3","TIDAK SEHAT","DKI5"
"8/9/2019","74","29","21","119","18","119","o3","TIDAK SEHAT","DKI3"
"8/10/2019","82","29","24","100","18","100","o3","SEDANG","DKI3"
"8/11/2019","68","27","21","72","9","72","o3","SEDANG","DKI3"
"8/12/2019","71","27","17","73","10","73","o3","SEDANG","DKI3"
"8/13/2019","70","29","21","57","10","70","pm10","SEDANG","DKI2"
"8/14/2019","67","28","19","69","18","69","o3","SEDANG","DKI5"
"8/15/2019","72","28","22","102","17","102","o3","TIDAK SEHAT","DKI4"
"8/16/2019","92","28","48","207","19","207","o3","SANGAT TIDAK SEHAT","DKI5"
"8/17/2019","71","27","22","174","14","174","o3","TIDAK SEHAT","DKI5"
"8/18/2019","69","27","25","108","10","108","o3","TIDAK SEHAT","DKI5"
"8/19/2019","71","29","25","185","19","185","o3","TIDAK SEHAT","DKI4"
"8/20/2019","75","31","23","171","18","171","o3","TIDAK SEHAT","DKI5"
"8/21/2019","70","30","20","76","11","76","o3","SEDANG","DKI3"
"8/22/2019","70","21","20","88","14","88","o3","SEDANG","DKI5"
"8/23/2019","81","28","29","201","18","201","o3","SANGAT TIDAK SEHAT","DKI5"
"8/24/2019","77","28","22","171","19","171","o3","TIDAK SEHAT","DKI5"
"8/25/2019","66","29","17","128","12","128","o3","TIDAK SEHAT","DKI5"
"8/26/2019","78","30","22","184","16","184","o3","TIDAK SEHAT","DKI5"
"8/27/2019","79","35","24","149","22","149","o3","TIDAK SEHAT","DKI5"
"8/28/2019","69","27","28","108","17","108","o3","TIDAK SEHAT","DKI5"
"8/29/2019","76","28","28","132","14","132","o3","TIDAK SEHAT","DKI5"
"8/30/2019","72","30","22","96","12","96","o3","SEDANG","DKI5"
"8/31/2019","76","29","30","78","15","78","o3","SEDANG","DKI3"
"4/1/2019","68","21","37","167","20","167","o3","TIDAK SEHAT","DKI5"
"4/2/2019","72","21","49","101","15","101","o3","TIDAK SEHAT","DKI5"
"4/3/2019","69","21","44","146","18","146","o3","TIDAK SEHAT","DKI5"
"4/4/2019","61","21","30","172","17","172","o3","TIDAK SEHAT","DKI5"
"4/5/2019","59","25","25","83","18","83","o3","SEDANG","DKI5"
"4/6/2019","74","21","38","195","23","195","o3","TIDAK SEHAT","DKI5"
"4/7/2019","72","21","41","243","13","243","o3","SANGAT TIDAK SEHAT","DKI5"
"4/8/2019","57","22","24","235","17","235","o3","SANGAT TIDAK SEHAT","DKI5"
"4/9/2019","72","25","27","127","18","127","o3","TIDAK SEHAT","DKI3"
"4/10/2019","82","25","32","199","27","199","o3","TIDAK SEHAT","DKI3"
"4/11/2019","69","23","23","153","17","153","o3","TIDAK SEHAT","DKI3"
"4/12/2019","55","22","38","78","10","78","o3","SEDANG","DKI2"
"4/13/2019","55","21","42","62","10","62","o3","SEDANG","DKI2"
"4/14/2019","45","22","37","112","14","112","o3","TIDAK SEHAT","DKI3"
"4/15/2019","64","22","39","122","23","122","o3","TIDAK SEHAT","DKI3"
"4/16/2019","62","22","43","119","16","119","o3","TIDAK SEHAT","DKI5"
"4/17/2019","69","22","39","80","16","80","o3","SEDANG","DKI4"
"4/18/2019","73","21","26","111","16","111","o3","TIDAK SEHAT","DKI3"
"4/19/2019","60","22","21","42","9","60","pm10","SEDANG","DKI4"
"4/20/2019","33","21","16","105","20","105","o3","TIDAK SEHAT","DKI3"
"4/21/2019","60","22","27","110","16","110","o3","TIDAK SEHAT","DKI3"
"4/22/2019","60","23","24","63","9","63","o3","SEDANG","DKI3"
"4/23/2019","63","24","18","73","10","73","o3","SEDANG","DKI3"
"4/24/2019","57","22","20","72","15","72","o3","SEDANG","DKI3"
"4/25/2019","67","22","45","85","12","85","o3","SEDANG","DKI3"
"4/26/2019","42","21","22","124","22","124","o3","TIDAK SEHAT","DKI3"
"4/27/2019","55","21","38","90","11","90","o3","SEDANG","DKI3"
"4/28/2019","65","22","46","78","11","78","o3","SEDANG","DKI5"
"4/29/2019","56","22","35","130","19","130","o3","TIDAK SEHAT","DKI3"
"4/30/2019","59","22","29","111","21","111","o3","TIDAK SEHAT","DKI3"
"12/1/2019","63","34","30","117","10","117","o3","TIDAK SEHAT","DKI4"
"12/2/2019","53","35","21","136","14","136","o3","TIDAK SEHAT","DKI5"
"12/3/2019","68","23","28","107","16","107","o3","TIDAK SEHAT","DKI5"
"12/4/2019","61","36","29","125","13","125","o3","TIDAK SEHAT","DKI4"
"12/5/2019","61","34","22","143","13","143","o3","TIDAK SEHAT","DKI4"
"12/6/2019","61","35","25","159","11","159","o3","TIDAK SEHAT","DKI4"
"12/7/2019","48","35","20","86","10","86","o3","SEDANG","DKI4"
"12/8/2019","56","35","29","120","10","120","o3","TIDAK SEHAT","DKI4"
"12/9/2019","71","35","30","155","19","155","o3","TIDAK SEHAT","DKI5"
"12/10/2019","63","35","24","91","12","91","o3","SEDANG","DKI4"
"12/11/2019","74","37","31","184","14","184","o3","TIDAK SEHAT","DKI5"
"12/12/2019","74","36","28","87","14","87","o3","SEDANG","DKI3"
"12/13/2019","71","37","29","120","13","120","o3","TIDAK SEHAT","DKI4"
"12/14/2019","63","37","23","94","13","94","o3","SEDANG","DKI3"
"12/15/2019","63","36","19","99","11","99","o3","SEDANG","DKI5"
"12/16/2019","76","36","22","88","18","88","o3","SEDANG","DKI5"
"12/17/2019","62","36","22","75","12","75","o3","SEDANG","DKI5"
"12/18/2019","58","35","28","140","17","140","o3","TIDAK SEHAT","DKI5"
"12/19/2019","64","37","30","96","14","96","o3","SEDANG","DKI4"
"12/20/2019","72","38","30","99","16","99","o3","SEDANG","DKI3"
"12/21/2019","72","37","35","109","15","109","o3","TIDAK SEHAT","DKI4"
"12/22/2019","53","36","24","94","13","94","o3","SEDANG","DKI5"
"12/23/2019","60","36","32","99","18","99","o3","SEDANG","DKI5"
"12/24/2019","68","37","34","105","11","105","o3","TIDAK SEHAT","DKI5"
"12/25/2019","58","37","26","73","9","73","o3","SEDANG","DKI5"
"12/26/2019","54","37","22","91","12","91","o3","SEDANG","DKI5"
"12/27/2019","55","38","26","84","11","84","o3","SEDANG","DKI4"
"12/28/2019","64","37","34","61","11","64","pm10","SEDANG","DKI2"
"12/29/2019","64","38","36","69","10","69","o3","SEDANG","DKI5"
"12/30/2019","77","37","55","89","9","89","o3","SEDANG","DKI2"
"12/31/2019","52","37","23","55","9","55","o3","SEDANG","DKI3"
"2/1/2019","61","20","47","93","12","93","o3","SEDANG","DKI1"
"2/2/2019","61","37","47","79","14","79","o3","SEDANG","DKI3"
"2/3/2019","64","26","34","95","13","95","o3","SEDANG","DKI3"
"2/4/2019","56","27","27","86","10","86","o3","SEDANG","DKI3"
"2/5/2019","57","20","36","80","10","80","o3","SEDANG","DKI3"
"2/6/2019","52","26","20","75","13","75","o3","SEDANG","DKI3"
"2/7/2019","70","39","34","65","19","70","pm10","SEDANG","DKI2"
"2/8/2019","63","44","23","132","18","132","o3","TIDAK SEHAT","DKI1"
"2/9/2019","59","24","25","144","22","144","o3","TIDAK SEHAT","DKI1"
"2/10/2019","59","23","28","81","17","81","o3","SEDANG","DKI3"
"2/11/2019","37","19","19","71","16","71","o3","SEDANG","DKI3"
"2/12/2019","56","34","36","94","17","94","o3","SEDANG","DKI3"
"2/13/2019","67","26","43","71","18","71","o3","SEDANG","DKI3"
"2/14/2019","73","35","39","91","17","91","o3","SEDANG","DKI3"
"2/15/2019","54","23","19","89","14","89","o3","SEDANG","DKI3"
"2/16/2019","42","21","15","111","12","111","o3","TIDAK SEHAT","DKI3"
"2/17/2019","55","20","20","79","12","79","o3","SEDANG","DKI3"
"2/18/2019","51","23","31","88","22","88","o3","SEDANG","DKI3"
"2/19/2019","72","26","31","123","21","123","o3","TIDAK SEHAT","DKI5"
"2/20/2019","69","24","41","70","23","70","o3","SEDANG","DKI4"
"2/21/2019","69","26","29","86","18","86","o3","SEDANG","DKI3"
"2/22/2019","60","34","34","77","19","77","o3","SEDANG","DKI3"
"2/23/2019","42","22","24","102","15","102","o3","TIDAK SEHAT","DKI5"
"2/24/2019","57","26","29","88","14","88","o3","SEDANG","DKI3"
"2/25/2019","59","28","32","115","12","115","o3","TIDAK SEHAT","DKI3"
"2/26/2019","61","29","25","88","14","88","o3","SEDANG","DKI3"
"2/27/2019","64","22","24","67","17","67","o3","SEDANG","DKI3"
"2/28/2019","56","21","22","98","13","98","o3","SEDANG","DKI5"
"1/1/2019","29","15","7","71","13","71","o3","SEDANG","DKI2"
"1/2/2019","24","17","6","79","6","79","o3","SEDANG","DKI2"
"1/3/2019","23","16","6","65","4","65","o3","SEDANG","DKI2"
"1/4/2019","42","18","10","64","11","64","o3","SEDANG","DKI2"
"1/5/2019","54","29","16","51","20","54","pm10","SEDANG","DKI3"
"1/6/2019","69","34","30","105","27","105","o3","TIDAK SEHAT","DKI2"
"1/7/2019","71","47","16","132","25","132","o3","TIDAK SEHAT","DKI3"
"1/8/2019","51","22","25","143","26","143","o3","TIDAK SEHAT","DKI3"
"1/9/2019","61","22","28","198","21","198","o3","TIDAK SEHAT","DKI1"
"1/10/2019","59","22","27","128","18","128","o3","TIDAK SEHAT","DKI1"
"1/11/2019","63","23","28","91","13","91","o3","SEDANG","DKI3"
"1/12/2019","57","26","24","90","16","90","o3","SEDANG","DKI3"
"1/13/2019","65","24","28","119","15","119","o3","TIDAK SEHAT","DKI3"
"1/14/2019","65","25","32","99","18","99","o3","SEDANG","DKI1"
"1/15/2019","72","27","26","59","13","72","pm10","SEDANG","DKI3"
"1/16/2019","37","23","19","64","7","64","o3","SEDANG","DKI3"
"1/17/2019","56","23","23","101","14","101","o3","TIDAK SEHAT","DKI1"
"1/18/2019","27","23","16","103","13","103","o3","TIDAK SEHAT","DKI1"
"1/19/2019","44","24","27","127","13","127","o3","TIDAK SEHAT","DKI1"
"1/20/2019","74","30","39","82","17","82","o3","SEDANG","DKI3"
"1/21/2019","62","24","22","94","12","94","o3","SEDANG","DKI3"
"1/22/2019","39","24","23","92","9","92","o3","SEDANG","DKI3"
"1/23/2019","59","23","37","70","14","70","o3","SEDANG","DKI3"
"1/24/2019","51","19","20","81","12","81","o3","SEDANG","DKI3"
"1/25/2019","32","19","25","74","12","74","o3","SEDANG","DKI3"
"1/26/2019","63","22","37","118","17","118","o3","TIDAK SEHAT","DKI1"
"1/27/2019","56","18","49","74","10","74","o3","SEDANG","DKI3"
"1/28/2019","53","20","34","77","15","77","o3","SEDANG","DKI3"
"1/29/2019","48","19","33","88","11","88","o3","SEDANG","DKI3"
"1/30/2019","47","21","32","73","16","73","o3","SEDANG","DKI1"
"1/31/2019","56","23","22","54","17","56","pm10","SEDANG","DKI3"
"7/1/2019","69","26","23","96","15","96","o3","SEDANG","DKI4"
"7/2/2019","71","26","24","108","15","108","o3","TIDAK SEHAT","DKI5"
"7/3/2019","71","28","21","87","16","87","o3","SEDANG","DKI5"
"7/4/2019","77","25","20","78","16","78","o3","SEDANG","DKI2"
"7/5/2019","67","26","23","91","13","91","o3","SEDANG","DKI2"
"7/6/2019","62","27","22","82","13","82","o3","SEDANG","DKI3"
"7/7/2019","63","26","12","58","7","63","pm10","SEDANG","DKI1"
"7/8/2019","61","27","17","84","10","84","o3","SEDANG","DKI3"
"7/9/2019","69","26","22","111","18","111","o3","TIDAK SEHAT","DKI2"
"7/10/2019","64","31","14","91","15","91","o3","SEDANG","DKI3"
"7/11/2019","71","28","20","63","14","71","pm10","SEDANG","DKI4"
"7/12/2019","67","28","17","77","13","77","o3","SEDANG","DKI3"
"7/13/2019","67","27","18","163","14","163","o3","TIDAK SEHAT","DKI4"
"7/14/2019","84","29","22","160","17","160","o3","TIDAK SEHAT","DKI4"
"7/15/2019","70","26","23","77","18","77","o3","SEDANG","DKI3"
"7/16/2019","78","27","24","92","19","92","o3","SEDANG","DKI4"
"7/17/2019","68","27","27","107","19","107","o3","TIDAK SEHAT","DKI5"
"7/18/2019","74","27","23","87","16","87","o3","SEDANG","DKI3"
"7/19/2019","68","28","26","58","18","68","pm10","SEDANG","DKI2"
"7/20/2019","75","27","22","113","22","113","o3","TIDAK SEHAT","DKI5"
"7/21/2019","79","27","18","91","12","91","o3","SEDANG","DKI2"
"7/22/2019","71","25","24","121","21","121","o3","TIDAK SEHAT","DKI5"
"7/23/2019","83","28","23","78","15","83","pm10","SEDANG","DKI2"
"7/24/2019","76","28","20","92","19","92","o3","SEDANG","DKI3"
"7/25/2019","79","28","37","124","25","124","o3","TIDAK SEHAT","DKI5"
"7/26/2019","83","28","21","96","21","96","o3","SEDANG","DKI3"
"7/27/2019","73","27","17","94","13","94","o3","SEDANG","DKI3"
"7/28/2019","90","27","17","115","13","115","o3","TIDAK SEHAT","DKI4"
"7/29/2019","75","27","27","129","17","129","o3","TIDAK SEHAT","DKI3"
"7/30/2019","83","27","26","99","15","99","o3","SEDANG","DKI2"
"6/1/2019","63","23","19","104","15","104","o3","TIDAK SEHAT","DKI2"
"6/2/2019","70","23","23","106","14","106","o3","TIDAK SEHAT","DKI2"
"6/3/2019","55","23","18","89","10","89","o3","SEDANG","DKI3"
"6/4/2019","75","24","20","82","11","82","o3","SEDANG","DKI3"
"6/5/2019","82","25","26","65","13","82","pm10","SEDANG","DKI4"
"6/6/2019","51","23","11","75","9","75","o3","SEDANG","DKI3"
"6/7/2019","51","24","11","54","8","54","o3","SEDANG","DKI4"
"6/8/2019","50","22","13","105","9","105","o3","TIDAK SEHAT","DKI2"
"6/9/2019","51","23","18","98","15","98","o3","SEDANG","DKI5"
"6/10/2019","57","23","20","88","16","88","o3","SEDANG","DKI5"
"6/11/2019","57","24","22","105","22","105","o3","TIDAK SEHAT","DKI5"
"6/12/2019","68","24","22","108","18","108","o3","TIDAK SEHAT","DKI5"
"6/13/2019","79","24","25","148","21","148","o3","TIDAK SEHAT","DKI4"
"6/14/2019","73","25","21","98","16","98","o3","SEDANG","DKI3"
"6/15/2019","57","24","27","112","24","112","o3","TIDAK SEHAT","DKI3"
"6/16/2019","66","24","24","107","17","107","o3","TIDAK SEHAT","DKI3"
"6/17/2019","75","25","24","93","14","93","o3","SEDANG","DKI3"
"6/18/2019","69","27","20","74","12","74","o3","SEDANG","DKI3"
"6/19/2019","80","27","19","92","16","92","o3","SEDANG","DKI5"
"6/20/2019","87","25","34","99","17","99","o3","SEDANG","DKI5"
"6/21/2019","79","27","23","103","13","103","o3","TIDAK SEHAT","DKI3"
"6/22/2019","80","28","19","133","15","133","o3","TIDAK SEHAT","DKI4"
"6/23/2019","72","26","20","134","17","134","o3","TIDAK SEHAT","DKI3"
"6/24/2019","79","27","20","103","13","103","o3","TIDAK SEHAT","DKI5"
"6/25/2019","89","26","25","89","14","89","pm10","SEDANG","DKI2"
"6/26/2019","84","27","21","80","15","84","pm10","SEDANG","DKI2"
"6/27/2019","81","26","25","142","17","142","o3","TIDAK SEHAT","DKI3"
"6/28/2019","69","29","28","143","21","143","o3","TIDAK SEHAT","DKI3"
"6/29/2019","69","29","26","173","17","173","o3","TIDAK SEHAT","DKI2"
"6/30/2019","64","27","16","83","12","83","o3","SEDANG","DKI3"
"3/1/2019","58","19","29","70","15","70","o3","SEDANG","DKI3"
"3/2/2019","50","51","25","62","12","62","o3","SEDANG","DKI3"
"3/3/2019","53","23","22","82","15","82","o3","SEDANG","DKI5"
"3/4/2019","55","22","32","104","22","104","o3","TIDAK SEHAT","DKI3"
"3/5/2019","47","21","28","83","22","83","o3","SEDANG","DKI5"
"3/6/2019","54","21","25","60","19","60","o3","SEDANG","DKI3"
"3/7/2019","55","24","39","112","17","112","o3","TIDAK SEHAT","DKI5"
"3/8/2019","78","25","41","155","27","155","o3","TIDAK SEHAT","DKI3"
"3/9/2019","67","35","29","215","27","215","o3","SANGAT TIDAK SEHAT","DKI5"
"3/10/2019","60","26","23","164","19","164","o3","TIDAK SEHAT","DKI2"
"3/11/2019","55","23","20","55","18","55","pm10","SEDANG","DKI2"
"3/12/2019","41","20","20","51","12","51","o3","SEDANG","DKI3"
"3/13/2019","50","27","28","122","22","122","o3","TIDAK SEHAT","DKI5"
"3/14/2019","58","26","52","162","36","162","o3","TIDAK SEHAT","DKI5"
"3/15/2019","71","29","29","132","35","132","o3","TIDAK SEHAT","DKI5"
"3/16/2019","60","26","43","128","15","128","o3","TIDAK SEHAT","DKI5"
"3/17/2019","51","21","18","82","9","82","o3","SEDANG","DKI5"
"3/18/2019","52","21","18","65","10","65","o3","SEDANG","DKI3"
"3/19/2019","38","20","18","68","6","68","o3","SEDANG","DKI3"
"3/20/2019","38","20","16","65","12","65","o3","SEDANG","DKI5"
"3/21/2019","58","21","21","74","10","74","o3","SEDANG","DKI5"
"3/22/2019","55","20","24","58","12","58","o3","SEDANG","DKI5"
"3/23/2019","40","20","15","75","15","75","o3","SEDANG","DKI5"
"3/24/2019","36","20","9","55","4","55","o3","SEDANG","DKI5"
"3/25/2019","40","20","14","42","7","42","o3","BAIK","DKI5"
"3/26/2019","71","21","36","89","16","89","o3","SEDANG","DKI5"
"3/27/2019","57","22","25","192","15","192","o3","TIDAK SEHAT","DKI5"
"3/28/2019","56","21","36","130","18","130","o3","TIDAK SEHAT","DKI5"
"3/29/2019","62","24","34","182","20","182","o3","TIDAK SEHAT","DKI5"
"3/30/2019","62","24","25","190","16","190","o3","TIDAK SEHAT","DKI5"
"3/31/2019","62","23","35","194","18","194","o3","TIDAK SEHAT","DKI5"
"5/1/2019","53","21","29","80","11","80","o3","SEDANG","DKI5"
"5/2/2019","48","13","18","29","6","48","pm10","BAIK","DKI3"
"5/3/2019","50","26","24","99","16","99","o3","SEDANG","DKI3"
"5/4/2019","72","22","32","92","15","92","o3","SEDANG","DKI3"
"5/5/2019","59","22","34","91","15","91","o3","SEDANG","DKI5"
"5/6/2019","52","16","22","93","13","93","o3","SEDANG","DKI3"
"5/7/2019","71","18","31","89","16","89","o3","SEDANG","DKI3"
"5/8/2019","77","23","52","132","21","132","o3","TIDAK SEHAT","DKI3"
"5/9/2019","69","23","32","149","22","149","o3","TIDAK SEHAT","DKI3"
"5/10/2019","57","22","26","87","16","87","o3","SEDANG","DKI2"
"5/11/2019","52","21","22","65","13","65","o3","SEDANG","DKI5"
"5/12/2019","69","22","24","76","12","76","o3","SEDANG","DKI4"
"11/1/2019","55","34","16","120","14","120","o3","TIDAK SEHAT","DKI2"
"11/2/2019","59","32","17","87","13","87","o3","SEDANG","DKI2"
"11/3/2019","58","34","14","92","12","92","o3","SEDANG","DKI5"
"11/4/2019","57","34","16","137","12","137","o3","TIDAK SEHAT","DKI2"
"11/5/2019","70","34","19","193","17","193","o3","TIDAK SEHAT","DKI5"
"11/6/2019","65","33","27","156","17","156","o3","TIDAK SEHAT","DKI5"
"11/7/2019","68","35","24","209","21","209","o3","SANGAT TIDAK SEHAT","DKI5"
"11/8/2019","85","35","26","150","24","150","o3","TIDAK SEHAT","DKI4"
"11/9/2019","81","38","17","220","16","220","o3","SANGAT TIDAK SEHAT","DKI5"
"11/10/2019","80","35","16","183","20","183","o3","TIDAK SEHAT","DKI5"
"11/11/2019","70","36","13","162","18","162","o3","TIDAK SEHAT","DKI4"
"11/12/2019","71","22","22","134","16","134","o3","TIDAK SEHAT","DKI5"
"11/13/2019","80","35","34","125","20","125","o3","TIDAK SEHAT","DKI5"
"11/14/2019","76","34","32","60","15","76","pm10","SEDANG","DKI2"
"11/15/2019","73","37","33","94","11","94","o3","SEDANG","DKI4"
"11/16/2019","66","36","20","81","12","81","o3","SEDANG","DKI3"
"11/17/2019","63","35","20","126","14","126","o3","TIDAK SEHAT","DKI5"
"11/18/2019","69","35","17","165","22","165","o3","TIDAK SEHAT","DKI5"
"11/19/2019","72","35","21","100","17","100","o3","SEDANG","DKI5"
